original_file,decoded_file,shape,MAE,RMSE,max_abs_error,relative_error,similarity_percent
FFN1_01.csv,FFN1_01_decoded.csv,"(768, 3072)",3.220133679314162e-05,4.030159587680806e-05,0.0001959263999999905,0.00011744708342910914,99.9882552916571
FFN1_02.csv,FFN1_02_decoded.csv,"(768, 3072)",3.216359505241701e-05,4.0262908632406595e-05,0.00021745529999994684,0.00011730957652592224,99.98826904234741
FFN2_01.csv,FFN2_01_decoded.csv,"(3072, 768)",3.2183450365288235e-05,4.028416434731482e-05,0.00020205589999999773,0.0001173624237298842,99.98826375762701
FFN2_02.csv,FFN2_02_decoded.csv,"(3072, 768)",3.526579454676545e-05,4.464175119670771e-05,0.0002627849000000071,0.0001300282157899839,99.986997178421
K_01.csv,K_01_decoded.csv,"(768, 768)",3.217166550239953e-05,4.030275099121058e-05,0.0001935440000000177,0.00011734378260778014,99.98826562173923
K_02.csv,K_02_decoded.csv,"(768, 768)",3.2183989278702536e-05,4.0287986697411644e-05,0.00018211415000000258,0.00011750400543571398,99.98824959945642
Q_01.csv,Q_01_decoded.csv,"(768, 768)",3.213828706626583e-05,4.023944454069644e-05,0.0001915593999999854,0.0001170702119427874,99.98829297880573
Q_02.csv,Q_02_decoded.csv,"(768, 768)",3.216819326026043e-05,4.025900557248345e-05,0.00018411190000000577,0.0001174460241129801,99.9882553975887
V_01.csv,V_01_decoded.csv,"(768, 768)",3.216940255271814e-05,4.0278563896907036e-05,0.0002001623000000008,0.00011763098827482233,99.98823690117253
V_02.csv,V_02_decoded.csv,"(768, 768)",3.218098629296398e-05,4.0291413564263785e-05,0.00020420173999999985,0.00011742986910529163,99.98825701308947
attention_output_01.csv,attention_output_01_decoded.csv,"(768, 768)",3.221362695695407e-05,4.0303121455697134e-05,0.00017446609999999252,0.00011746388640688233,99.98825361135931
attention_output_02.csv,attention_output_02_decoded.csv,"(768, 768)",3.216975626383998e-05,4.0254290298530065e-05,0.00019425580000001497,0.00011725847497873994,99.98827415250211
